LAP,STINT_LAP,PODIUM_PROB,ACTION,REWARD
1,1,0.56722546,0,-0.108633965
2,2,0.4585915,0,0.108633965
3,3,0.56722546,0,-0.108633965
4,4,0.4585915,0,-0.15216494
5,5,0.30642655,0,0.0
6,6,0.30642655,0,-0.0025253892
7,7,0.30390117,0,0.005543649
8,8,0.30944481,0,0.0
9,9,0.30944481,0,0.0
10,10,0.30944481,0,-0.025866508
11,11,0.2835783,0,0.02883327
12,12,0.31241158,0,-0.023329884
13,13,0.2890817,0,0.0
14,14,0.2890817,0,-0.0023734272
15,15,0.28670827,0,0.0
16,16,0.28670827,0,0.0027720928
17,17,0.28948036,0,0.0
18,18,0.28948036,0,0.0
19,19,0.28948036,0,0.0059405565
20,20,0.2954209,1,0.001686871
21,1,0.2971078,0,-0.0049382746
22,2,0.2921695,0,0.0
23,3,0.2921695,0,0.0
24,4,0.2921695,0,0.0
25,5,0.2921695,0,0.0
26,6,0.2921695,0,-0.002456963
27,7,0.28971255,0,0.005394578
28,8,0.29510713,0,0.0
29,9,0.29510713,0,-0.003129065
30,10,0.29197806,0,0.0
31,11,0.29197806,0,0.0
32,12,0.29197806,0,0.0027124286
33,13,0.2946905,0,0.0
34,14,0.2946905,0,-0.0024005473
35,15,0.29228994,0,0.27634707
36,16,0.568637,0,-0.28391653
37,17,0.28472048,0,0.010700434
38,18,0.2954209,0,-0.00064122677
39,19,0.2947797,0,0.09383899
40,20,0.38861868,1,-0.094652295
41,1,0.29396638,0,-0.0049075484
42,2,0.28905883,0,0.0
43,3,0.28905883,0,0.0
44,4,0.28905883,0,0.0
45,5,0.28905883,0,0.0
46,6,0.28905883,0,-0.0024413764
47,7,0.28661746,0,0.0053606033
48,8,0.29197806,0,0.003129065
49,9,0.29510713,0,0.0
50,10,0.29510713,0,0.0
51,11,0.29510713,0,-0.003129065
52,12,0.29197806,0,0.0027124286
53,13,0.2946905,0,0.0
54,14,0.2946905,0,-0.0024005473
55,15,0.29228994,0,0.0
56,16,0.29228994,0,0.0
57,17,0.29228994,0,0.0
58,18,0.29228994,0,0.0
59,19,0.29228994,0,0.0
60,20,0.29228994,1,0.0016764402
61,1,0.29396638,0,-0.0049075484
62,2,0.28905883,0,0.0
63,3,0.28905883,0,0.0
64,4,0.28905883,0,0.117949665
65,5,0.4070085,0,-0.04965973
66,6,0.35734877,0,0.05311361
67,7,0.41046238,0,0.007902354
68,8,0.41836473,0,0.14787152
69,9,0.56623626,0,-0.15811041
70,10,0.40812585,0,-0.033866853
71,11,0.374259,0,0.036837727
72,12,0.41109672,0,-0.033768296
73,13,0.37732843,0,0.0
74,14,0.37732843,0,-0.0027161837
75,15,0.37461224,0,0.03354788
76,16,0.40816012,0,-0.03354788
77,17,0.37461224,0,0.0
78,18,0.37461224,0,0.017582446
79,19,0.3921947,0,0.1791591
80,20,0.5713538,1,-0.29218066
81,1,0.27917314,0,0.28049064
82,2,0.5596638,0,-0.031781137
83,3,0.52788264,0,0.08550137
84,4,0.613384,0,-0.1587869
85,5,0.45459712,0,-0.04869196
86,6,0.40590516,0,0.1494259
87,7,0.55533105,0,-0.036104858
88,8,0.5192262,0,-0.11359179
89,9,0.4056344,0,-0.029948145
90,10,0.37568626,0,-0.00353235
91,11,0.3721539,0,0.0
92,12,0.3721539,0,-0.00199759
93,13,0.37015632,0,0.034724444
94,14,0.40488076,0,-0.03026852
95,15,0.37461224,0,0.0035416186
96,16,0.37815386,0,0.0
97,17,0.37815386,0,0.004124433
98,18,0.3822783,0,0.0008316636
99,19,0.38310996,0,-0.021982938
100,20,0.36112702,1,0.009359747
101,1,0.37048677,0,0.06208712
102,2,0.43257388,0,0.0
103,3,0.43257388,0,0.04585868
104,4,0.47843257,0,0.0
105,5,0.47843257,0,0.04617998
106,6,0.52461255,0,0.075446784
107,7,0.60005933,0,0.0062406063
108,8,0.60629994,0,0.0
109,9,0.60629994,0,0.0
110,10,0.60629994,0,0.008210421
111,11,0.61451036,0,0.0
112,12,0.61451036,0,0.0030950308
113,13,0.6176054,0,0.0
114,14,0.6176054,0,-0.0027378201
115,15,0.61486757,0,0.0
116,16,0.61486757,0,0.0
117,17,0.61486757,0,0.0
118,18,0.61486757,0,0.13887691
119,19,0.7537445,1,0.009342194
120,1,0.7630867,0,0.087747514
121,2,0.8508342,0,0.0
122,3,0.8508342,0,0.0040263534
123,4,0.85486054,0,-0.67902994
124,5,0.17583057,0,0.03233996
125,6,0.20817053,0,-0.03227642
126,7,0.17589411,0,-0.0500852
127,8,0.12580891,0,-0.04406122
128,9,0.08174769,0,0.016021557
129,10,0.097769246,0,0.20392765
130,11,0.3016969,0,-0.089231715
131,12,0.21246518,0,-0.102129914
132,13,0.11033527,0,0.10736216
133,14,0.21769743,0,-0.009634078
134,15,0.20806335,0,0.009103134
135,16,0.21716648,0,0.12025359
136,17,0.33742008,0,0.3427703
137,18,0.6801904,0,0.080132425
138,19,0.7603228,1,0.06251472
139,1,0.82283753,0,-0.06630039
140,2,0.75653714,0,0.06881845
141,3,0.8253556,0,-0.013350189
142,4,0.8120054,0,0.034856975
143,5,0.8468624,0,0.0018770695
144,6,0.84873945,0,0.004532695
145,7,0.85327214,0,-0.010417581
146,8,0.84285456,0,0.0027078986
147,9,0.84556246,0,0.0013126731
148,10,0.84687513,0,0.017712414
149,11,0.86458755,0,0.00027751923
