PODIUM_PROB_THRESHOLD,EVENT_ID,NUMBER,REAL_FINAL_POSITION,REAL_PODIUM,SIM_LAPS,SIM_PIT_COUNT,SIM_EARLY_PIT_COUNT,SIM_MEAN_PODIUM_PROB,SIM_CUM_REWARD
0.5,2025_SPA,50,2,True,149,8,3,0.41802505,-0.0810737
0.5,2025_SPA,51,1,True,149,9,8,0.59745663,-0.073271856
0.5,2025_SPA,83,16,False,110,5,1,0.12832753,-0.7799275
0.5,2025_SPA,94,16,False,98,5,3,0.3775195,-0.6863486
0.5,2025_SPA,36,3,True,149,8,4,0.46050176,-0.124688804
0.5,2025_SPA,15,10,False,149,7,2,0.19296059,-0.88896614
0.5,2025_SPA,12,5,False,149,7,2,0.22026746,-0.38234752
0.5,2025_SPA,93,11,False,149,8,3,0.29357004,-0.5747645
0.5,2025_SPA,6,9,False,149,7,0,0.100094005,-0.4557625
0.5,2025_SPA,35,8,False,149,7,1,0.15244198,-0.3816262
0.5,2025_SPA,38,6,False,149,7,1,0.115337886,-0.2422452
0.5,2025_SPA,20,13,False,131,7,4,0.40877214,-0.40867364
0.5,2025_SPA,99,18,False,21,1,0,0.0543989,-0.09891961
0.5,2025_SPA,8,4,False,149,7,0,0.11737364,0.013923988
0.5,2025_SPA,7,7,False,149,7,1,0.28869593,-0.39058155
0.5,2025_SPA,007,13,False,149,7,0,0.032065623,-0.44740826
0.5,2025_SPA,009,14,False,148,7,0,0.026729185,-0.44471303
0.5,2025_SPA,5,12,False,149,7,0,0.108934425,-0.38307822
0.5,2025_IMOLA,51,1,True,200,12,12,0.6820618,-0.30921835
0.5,2025_IMOLA,83,4,False,200,12,10,0.58103895,-0.35788876
0.5,2025_IMOLA,15,6,False,200,12,11,0.6218965,-0.32422814
0.5,2025_IMOLA,7,7,False,200,11,9,0.56779325,-1.0810411
0.5,2025_IMOLA,8,5,False,200,11,5,0.26929164,-1.1083026
0.5,2025_IMOLA,93,9,False,200,10,2,0.10723631,-0.7331569
0.5,2025_IMOLA,36,3,True,200,10,3,0.25378516,-0.61862934
0.5,2025_IMOLA,35,13,False,200,10,0,0.027802883,-0.5948186
0.5,2025_IMOLA,12,10,False,200,10,0,0.03251729,-0.5067277
0.5,2025_IMOLA,94,12,False,200,10,0,0.046994228,-0.5168958
0.5,2025_IMOLA,20,2,True,200,10,5,0.34857106,-0.448582
0.5,2025_IMOLA,6,8,False,200,10,4,0.29503933,-0.12872484
0.5,2025_IMOLA,38,16,False,200,10,0,0.021614702,-0.5406165
0.5,2025_IMOLA,5,11,False,200,10,0,0.07496623,-0.531468
0.5,2025_IMOLA,50,15,False,200,10,2,0.2060583,-0.5449147
0.5,2025_IMOLA,99,14,False,200,10,0,0.018515859,-0.5415819
0.5,2025_IMOLA,007,18,False,200,10,0,0.010090101,-0.5356426
0.5,2025_IMOLA,009,17,False,200,10,0,0.01051984,-0.5456352
0.6,2025_SPA,50,2,True,149,7,1,0.41729057,-0.05526358
0.6,2025_SPA,51,1,True,149,8,7,0.59768295,-0.03245133
0.6,2025_SPA,83,16,False,110,5,1,0.12832753,-0.7799275
0.6,2025_SPA,94,16,False,98,5,1,0.37586686,-0.68011165
0.6,2025_SPA,36,3,True,149,8,3,0.46207494,-0.1217964
0.6,2025_SPA,15,10,False,149,7,1,0.1947416,-0.8877025
0.6,2025_SPA,12,5,False,149,7,2,0.2200327,-0.38234758
0.6,2025_SPA,93,11,False,149,7,4,0.2939318,-0.5284269
0.6,2025_SPA,6,9,False,149,7,0,0.100094005,-0.4557625
0.6,2025_SPA,35,8,False,149,7,0,0.15231608,-0.3738638
0.6,2025_SPA,38,6,False,149,7,0,0.1153727,-0.23871407
0.6,2025_SPA,20,13,False,131,7,4,0.40861487,-0.40635765
0.6,2025_SPA,99,18,False,21,1,0,0.0543989,-0.09891961
0.6,2025_SPA,8,4,False,149,7,0,0.11737364,0.013923988
0.6,2025_SPA,7,7,False,149,7,1,0.28869593,-0.39058155
0.6,2025_SPA,007,13,False,149,7,0,0.032065623,-0.44740826
0.6,2025_SPA,009,14,False,148,7,0,0.026729185,-0.44471303
0.6,2025_SPA,5,12,False,149,7,0,0.108934425,-0.38307822
0.6,2025_IMOLA,51,1,True,200,12,11,0.68161225,-0.3095867
0.6,2025_IMOLA,83,4,False,200,11,9,0.58102137,-0.33985668
0.6,2025_IMOLA,15,6,False,200,11,8,0.6214038,-0.31665474
0.6,2025_IMOLA,7,7,False,200,11,6,0.5670904,-1.0378306
0.6,2025_IMOLA,8,5,False,200,10,2,0.26641715,-1.0655797
0.6,2025_IMOLA,93,9,False,200,10,0,0.10776919,-0.70124805
0.6,2025_IMOLA,36,3,True,200,10,0,0.2538569,-0.6026404
0.6,2025_IMOLA,35,13,False,200,10,0,0.027802883,-0.5948186
0.6,2025_IMOLA,12,10,False,200,10,0,0.03251729,-0.5067277
0.6,2025_IMOLA,94,12,False,200,10,0,0.046994228,-0.5168958
0.6,2025_IMOLA,20,2,True,200,10,4,0.34930825,-0.4415514
0.6,2025_IMOLA,6,8,False,200,10,4,0.29503933,-0.12872484
0.6,2025_IMOLA,38,16,False,200,10,0,0.021614702,-0.5406165
0.6,2025_IMOLA,5,11,False,200,10,0,0.07496623,-0.531468
0.6,2025_IMOLA,50,15,False,200,10,1,0.20413893,-0.54374844
0.6,2025_IMOLA,99,14,False,200,10,0,0.018515859,-0.5415819
0.6,2025_IMOLA,007,18,False,200,10,0,0.010090101,-0.5356426
0.6,2025_IMOLA,009,17,False,200,10,0,0.01051984,-0.5456352
0.7,2025_SPA,50,2,True,149,7,2,0.41826043,-0.052360475
0.7,2025_SPA,51,1,True,149,8,3,0.59941953,-0.025750447
0.7,2025_SPA,83,16,False,110,5,0,0.12981118,-0.7797631
0.7,2025_SPA,94,16,False,98,4,0,0.37592787,-0.6396522
0.7,2025_SPA,36,3,True,149,7,1,0.465105,-0.07754022
0.7,2025_SPA,15,10,False,149,7,0,0.19497809,-0.8874486
0.7,2025_SPA,12,5,False,149,7,2,0.22008803,-0.3676026
0.7,2025_SPA,93,11,False,149,7,0,0.2909852,-0.52764904
0.7,2025_SPA,6,9,False,149,7,0,0.100094005,-0.4557625
0.7,2025_SPA,35,8,False,149,7,0,0.15231608,-0.3738638
0.7,2025_SPA,38,6,False,149,7,0,0.1153727,-0.23871407
0.7,2025_SPA,20,13,False,131,6,1,0.4082126,-0.35772935
0.7,2025_SPA,99,18,False,21,1,0,0.0543989,-0.09891961
0.7,2025_SPA,8,4,False,149,7,0,0.11737364,0.013923988
0.7,2025_SPA,7,7,False,149,7,0,0.2880709,-0.39058155
0.7,2025_SPA,007,13,False,149,7,0,0.032065623,-0.44740826
0.7,2025_SPA,009,14,False,148,7,0,0.026729185,-0.44471303
0.7,2025_SPA,5,12,False,149,7,0,0.108934425,-0.38307822
0.7,2025_IMOLA,51,1,True,200,11,6,0.6817088,-0.25958666
0.7,2025_IMOLA,83,4,False,200,11,6,0.5783308,-0.30788895
0.7,2025_IMOLA,15,6,False,200,11,7,0.6212866,-0.31665474
0.7,2025_IMOLA,7,7,False,200,10,3,0.5668201,-1.0242318
0.7,2025_IMOLA,8,5,False,200,10,1,0.2670405,-1.0592772
0.7,2025_IMOLA,93,9,False,200,10,0,0.10776919,-0.70124805
0.7,2025_IMOLA,36,3,True,200,10,0,0.2538569,-0.6026404
0.7,2025_IMOLA,35,13,False,200,10,0,0.027802883,-0.5948186
0.7,2025_IMOLA,12,10,False,200,10,0,0.03251729,-0.5067277
0.7,2025_IMOLA,94,12,False,200,10,0,0.046994228,-0.5168958
0.7,2025_IMOLA,20,2,True,200,10,3,0.348708,-0.44050694
0.7,2025_IMOLA,6,8,False,200,10,1,0.2927288,-0.05428204
0.7,2025_IMOLA,38,16,False,200,10,0,0.021614702,-0.5406165
0.7,2025_IMOLA,5,11,False,200,10,0,0.07496623,-0.531468
0.7,2025_IMOLA,50,15,False,200,10,1,0.20413893,-0.54374844
0.7,2025_IMOLA,99,14,False,200,10,0,0.018515859,-0.5415819
0.7,2025_IMOLA,007,18,False,200,10,0,0.010090101,-0.5356426
0.7,2025_IMOLA,009,17,False,200,10,0,0.01051984,-0.5456352
0.8,2025_SPA,50,2,True,149,7,0,0.41769496,-0.052360475
0.8,2025_SPA,51,1,True,149,7,2,0.59964013,0.01754859
0.8,2025_SPA,83,16,False,110,5,0,0.12981118,-0.7797631
0.8,2025_SPA,94,16,False,98,4,0,0.37592787,-0.6396522
0.8,2025_SPA,36,3,True,149,7,1,0.465105,-0.07754022
0.8,2025_SPA,15,10,False,149,7,0,0.19497809,-0.8874486
0.8,2025_SPA,12,5,False,149,7,1,0.22036912,-0.36544088
0.8,2025_SPA,93,11,False,149,7,0,0.2909852,-0.52764904
0.8,2025_SPA,6,9,False,149,7,0,0.100094005,-0.4557625
0.8,2025_SPA,35,8,False,149,7,0,0.15231608,-0.3738638
0.8,2025_SPA,38,6,False,149,7,0,0.1153727,-0.23871407
0.8,2025_SPA,20,13,False,131,6,0,0.40830213,-0.3586736
0.8,2025_SPA,99,18,False,21,1,0,0.0543989,-0.09891961
0.8,2025_SPA,8,4,False,149,7,0,0.11737364,0.013923988
0.8,2025_SPA,7,7,False,149,7,0,0.2880709,-0.39058155
0.8,2025_SPA,007,13,False,149,7,0,0.032065623,-0.44740826
0.8,2025_SPA,009,14,False,148,7,0,0.026729185,-0.44471303
0.8,2025_SPA,5,12,False,149,7,0,0.108934425,-0.38307822
0.8,2025_IMOLA,51,1,True,200,10,2,0.6798819,-0.2092183
0.8,2025_IMOLA,83,4,False,200,10,0,0.5755697,-0.25788885
0.8,2025_IMOLA,15,6,False,200,10,1,0.61750084,-0.23555753
0.8,2025_IMOLA,7,7,False,200,10,2,0.5669713,-1.0242319
0.8,2025_IMOLA,8,5,False,200,10,1,0.2670405,-1.0592772
0.8,2025_IMOLA,93,9,False,200,10,0,0.10776919,-0.70124805
0.8,2025_IMOLA,36,3,True,200,10,0,0.2538569,-0.6026404
0.8,2025_IMOLA,35,13,False,200,10,0,0.027802883,-0.5948186
0.8,2025_IMOLA,12,10,False,200,10,0,0.03251729,-0.5067277
0.8,2025_IMOLA,94,12,False,200,10,0,0.046994228,-0.5168958
0.8,2025_IMOLA,20,2,True,200,10,1,0.3487313,-0.39445597
0.8,2025_IMOLA,6,8,False,200,10,1,0.2927288,-0.05428204
0.8,2025_IMOLA,38,16,False,200,10,0,0.021614702,-0.5406165
0.8,2025_IMOLA,5,11,False,200,10,0,0.07496623,-0.531468
0.8,2025_IMOLA,50,15,False,200,10,1,0.20413893,-0.54374844
0.8,2025_IMOLA,99,14,False,200,10,0,0.018515859,-0.5415819
0.8,2025_IMOLA,007,18,False,200,10,0,0.010090101,-0.5356426
0.8,2025_IMOLA,009,17,False,200,10,0,0.01051984,-0.5456352
